bill_id,congress,bill_type,bill_number,title,title_ai,introduced_date,status,sponsor_bioguide,sponsor_name,sponsor_party,sponsor_state,latest_action_date,latest_action_text,cosponsor_count
s1227-119,119,S,S.1227,ABC Act,ABC Act,,active,M000133,Edward J. Markey,Democratic,MA,,,0
hr2716-119,119,HR,H.R.2716,Ending Improper Payments to Deceased People Act,Stop payments to dead people,,active,H001077,Clay Higgins,Republican,LA,,,0
hr4977-119,119,HR,H.R.4977,Connected MOM Act,Connected MOM Act,,active,F000462,Lois Frankel,Democratic,FL,,,0
hr7549-119,119,HR,H.R.7549,National Council on African American History and Culture Act of 2026,Establish council for African American history and culture,2026-02-12,active,M000687,Kweisi Mfume,Democratic,MD,2026-02-12,Referred to the House Committee on Education and Workforce.,33
hr2499-119,119,HR,H.R.2499,"To codify Executive Order 14248, entitled ""Preserving and Protecting the Integrity of American Elections"".",Protect the integrity of American elections,,active,H001098,Abraham J. Hamadeh,Republican,AZ,,,0
hr6820-119,119,HR,H.R.6820,Airline Passenger Compensation Act of 2025,Compensate airline passengers for flight issues,2025-12-17,active,S001223,Emilia Strong Sykes,Democratic,OH,2026-02-02,Referred to the Subcommittee on Aviation.,0
s642-119,119,S,S.642,Keweenaw Bay Indian Community Land Claim Settlement Act of 2025,Settling land claims for Keweenaw Bay Indians,,active,P000595,Gary C. Peters,Democratic,MI,,,0
s3142-119,119,S,S.3142,I–VETS Act,I–VETS Act,,active,D000622,Tammy Duckworth,Democratic,IL,,,0
hr6466-119,119,HR,H.R.6466,Forced Abortion Prevention and Accountability Act,Prevent forced abortions and ensure accountability,,active,M001233,Mark B. Messmer,Republican,IN,,,0
hres973-119,119,HRES,H.Res.973,"Expressing the sense of the House of Representatives that the designation of the ""Donald J. Trump and the John F. Kennedy Memorial Center for the Performing Arts"" constitutes a violation of Federal law, and for other purposes.",House opposes Trump name on Kennedy Center as illegal,2025-12-30,In Committee,L000562,Stephen F. Lynch,Democratic,MA,2026-02-02,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",0
hr3638-119,119,HR,H.R.3638,Electric Supply Chain Act,Strengthen electric energy supply chains,,active,L000566,Robert E. Latta,Republican,OH,,,0
hr1564-119,119,HR,H.R.1564,Ethan's Law,Ethan's Law,,active,D000216,Rosa L. DeLauro,Democratic,CT,,,0
s3667-119,119,S,S.3667,Life at Conception Act of 2026,Recognize human life from conception,,active,R000605,Mike Rounds,Republican,SD,,,0
hr6893-119,119,HR,H.R.6893,"Chesapeake Bay Watershed Advancement for Training, Education, Restoration, and Science (WATERS) Act",Support Chesapeake Bay watershed restoration and education,2025-12-18,active,S000185,"Robert C. ""Bobby"" Scott",Democratic,VA,2025-12-18,Referred to the House Committee on Natural Resources.,6
s832-119,119,S,S.832,EPIC Act of 2025,EPIC Act,,active,T000476,Thom Tillis,Republican,NC,,,0
hr1538-119,119,HR,H.R.1538,Delivering for Rural Seniors Act of 2025,Deliver food services to rural seniors,2025-02-24,active,N000193,Zachary Nunn,Republican,IA,2025-03-28,Referred to the Subcommittee on Nutrition and Foreign Agriculture.,23
hr1198-119,119,HR,H.R.1198,Let’s Get to Work Act of 2025,Encourage jobs in agriculture and food sectors,,active,K000403,Mike Kennedy,Republican,UT,,,0
s622-119,119,S,S.622,Leech Lake Reservation Restoration Amendments Act of 2025,Amendments to restore Leech Lake Reservation,,active,S001203,Tina Smith,Democratic,MN,,,0
s3641-119,119,S,S.3641,No Relief for Allies of Dictators Act of 2026,Deny aid to allies of dictators,,active,S001217,Rick Scott,Republican,FL,,,0
s3679-119,119,S,S.3679,Banning Perpetrators of Religious Persecution Act of 2026,Ban people who persecute based on religion,,active,B001305,Ted Budd,Republican,NC,,,0
hr7438-119,119,HR,H.R.7438,PETSAFE Act of 2026,PETSAFE Act,2026-02-09,active,M001199,Brian J. Mast,Republican,FL,2026-02-09,Referred to the House Committee on Transportation and Infrastructure.,10
hr7126-119,119,HR,H.R.7126,SECURE Minerals Act of 2026,Secure critical minerals for energy needs,2026-01-15,active,W000804,Robert J. Wittman,Republican,VA,2026-02-24,Subcommittee Hearings Held,4
hr1721-119,119,HR,H.R.1721,Critical Infrastructure Manufacturing Feasibility Act,Study making critical infrastructure possible,,active,M001215,Mariannette Miller-Meeks,Republican,IA,,,0
hr169-119,119,HR,H.R.169,Prevent Family Fire Act of 2025,Prevent unintentional fires in family homes,2025-01-03,active,L000593,Mike Levin,Democratic,CA,2025-01-03,Referred to the House Committee on Ways and Means.,10
hr2791-119,119,HR,H.R.2791,Homes for Heroes Act,Homes for Heroes Act,,active,M001222,Max L. Miller,Republican,OH,,,0
hr6207-119,119,HR,H.R.6207,Chip EQUIP Act,Chip EQUIP Act,,active,L000397,Zoe Lofgren,Democratic,CA,,,0
hr6539-119,119,HR,H.R.6539,STORM Act,STORM Act,2025-12-09,active,R000603,David Rouzer,Republican,NC,2026-02-02,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",0
hr880-119,119,HR,H.R.880,Household Goods Shipping Consumer Protection Act,Protect consumers when shipping household goods,2025-01-31,active,N000147,Eleanor Holmes Norton,Democratic,DC,2025-02-01,Referred to the Subcommittee on Highways and Transit.,25
hr6635-119,119,HR,H.R.6635,Bus Operator Safety and Security Act,Boost safety and security for bus operators,2025-12-11,active,F000481,Shomari Figures,Democratic,AL,2026-02-02,Referred to the Subcommittee on Highways and Transit.,5
s803-119,119,S,S.803,Keep Americans Safe Act,Keep Americans Safe Act,,active,H001042,Mazie K. Hirono,Democratic,HI,,,0
hr2909-119,119,HR,H.R.2909,"You Earned It, You Keep It Act",You Earned It You Keep It Act,,active,C001119,Angie Craig,Democratic,MN,,,0
hjres35-119,119,HJRES,H.J.Res.35,H.J.Res.35,Reject EPA rules on vehicle emissions,,active,,,,,,,0
s3526-119,119,S,S.3526,PUBLIC Lands Act,PUBLIC Lands Act,2025-12-17,active,P000145,Alex Padilla,Democratic,CA,2026-02-12,"Committee on Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining. Hearings held.",1
hr7080-119,119,HR,H.R.7080,Waste Heat to Wattage Act of 2026,Convert waste heat to energy in agriculture,,active,V000136,Gabe Vasquez,Democratic,NM,,,0
s2304-119,119,S,S.2304,Methane Reduction and Economic Growth Act,Reduce methane emissions and boost economy,,In Committee,W000805,Mark R. Warner,Democratic,VA,,,0
hr7090-119,119,HR,H.R.7090,"To designate the portion of Interstate Route 680 in Omaha, Nebraska, as the ""Hal Daub Freeway"".",Call Omahas Interstate 680 the Hal Daub Freeway,2026-01-15,active,B001298,Don Bacon,Republican,NE,2026-01-15,Referred to the House Committee on Transportation and Infrastructure.,9
s3496-119,119,S,S.3496,United States Legal Gold and Mining Partnership Act,US legal partnerships for gold and mining,,active,C001056,John Cornyn,Republican,TX,,,0
sjres43-119,119,SJRES,S.J.Res.43,A joint resolution proposing an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.,Amend Constitution to regulate election donations,,active,S001181,Jeanne Shaheen,Democratic,NH,,,0
hr6241-119,119,HR,H.R.6241,Urban and Rural Diabetes Initiative Act,Initiative for diabetes in urban and rural areas,,active,W000187,Maxine Waters,Democratic,CA,,,0
s3054-119,119,S,S.3054,Kayla Hamilton Act,Kayla Hamilton Act,,active,C001056,John Cornyn,Republican,TX,,,0
s4056-119,119,S,S.4056,A bill to establish the Proprietary Education Interagency Oversight Committee and to facilitate the disclosure and reporting of information regarding complaints and investigations related to proprietary institutions of higher education eligible to receive Federal education assistance.,,2026-03-11,active,D000563,Richard J. Durbin,Democratic,IL,2026-03-11,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S1011-1015)",5
s3669-119,119,S,S.3669,Plant-Powered School Meals Pilot Act,Pilot program for plant-based school meals,,active,S001150,Adam B. Schiff,Democratic,CA,,,0
hr1190-119,119,HR,H.R.1190,Expanding Access to Capital for Rural Job Creators Act,Increase access to money for rural job creators,,active,D000634,Troy Downing,Republican,MT,,,0
hr7083-119,119,HR,H.R.7083,CRUISE Act,CRUISE Act,2026-01-15,active,B001321,Tom Barrett,Republican,MI,2026-02-24,Forwarded by Subcommittee to Full Committee by Voice Vote.,0
hr645-119,119,HR,H.R.645,National Constitutional Carry Act,Nationwide gun carry without permits,2025-01-23,active,M001184,Thomas Massie,Republican,KY,2025-01-23,Referred to the House Committee on the Judiciary.,0
hr3783-119,119,HR,H.R.3783,Plant Biostimulant Act of 2025,Regulate substances that boost plant growth,2025-06-05,active,P000613,Jimmy Panetta,Democratic,CA,2025-06-05,Referred to the House Committee on Agriculture.,10
hr6177-119,119,HR,H.R.6177,Grid Research and Development Act,Research and development for the power grid,,active,C001117,Sean Casten,Democratic,IL,,,0
hjres130-119,119,HJRES,H.J.Res.130,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""Buffalo Field Office Record of Decision and Approved Resource Management Plan Amendment"".",,,active,H001096,Harriet M. Hageman,Republican,WY,,,0
hr5141-119,119,HR,H.R.5141,Stop the Rate Hikes Act,Prevent energy rate increases,,active,H001090,Josh Harder,Democratic,CA,,,0
hr6556-119,119,HR,H.R.6556,Failing Bank Acquisition Fairness Act,Ensure fairness in acquiring failing banks,2025-12-10,active,L000562,Stephen F. Lynch,Democratic,MA,2026-02-02,"Placed on the Union Calendar, Calendar No. 406.",1
hr4358-119,119,HR,H.R.4358,Anti-Rigging Act of 2025,Prevent rigging in government and politics,,active,V000131,Marc A. Veasey,Democratic,TX,,,0
hr2878-119,119,HR,H.R.2878,"Daniel J. Harvey, Jr. and Adam Lambert Improving Servicemember Transition to Reduce Veteran Suicide Act",Improve servicemember transitions to reduce veteran suicide,,active,N000193,Zachary Nunn,Republican,IA,,,0
hr6367-119,119,HR,H.R.6367,Social Security Data Transparency Act,Improve transparency of Social Security data,,In Committee,S001226,Andrea Salinas,Democratic,OR,,,0
hr3601-119,119,HR,H.R.3601,National ACERT Grant Program Authorization Act,Authorizes national grants for law enforcement program,,active,P000614,Chris Pappas,Democratic,NH,,,0
hr906-119,119,HR,H.R.906,Foreign Adversary Communications Transparency Act,Transparency in communications with foreign enemies,2025-01-31,active,W000804,Robert J. Wittman,Republican,VA,2025-04-29,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",0
hr2032-119,119,HR,H.R.2032,BITCOIN Act of 2025,BITCOIN Act in financial sector,,active,B001323,Nicholas J. Begich III,Republican,AK,,,0
hr3447-119,119,HR,H.R.3447,Chip Security Act,Chip Security Act,2025-05-15,active,H001058,Bill Huizenga,Republican,MI,2025-05-15,Referred to the House Committee on Foreign Affairs.,33
hr1899-119,119,HR,H.R.1899,Audio-Only Telehealth Access Act of 2025,Expand access to audio-only telehealth services,,active,F000446,Randy Feenstra,Republican,IA,,,0
hr4566-119,119,HR,H.R.4566,Washington’s Trail—1753 National Historic Trail Feasibility Study Act of 2025,Study Washington's 1753 Trail for national status,,active,K000376,Mike Kelly,Republican,PA,,,0
s3601-119,119,S,S.3601,Veterans in Campus Safety Act,Veterans improving safety on campuses,,active,S001227,Eric Schmitt,Republican,MO,,,0
sjres60-119,119,SJRES,S.J.Res.60,S.J.Res.60,Congress rejects Labor's worker classification rule,,active,,,,,,,0
hr3544-119,119,HR,H.R.3544,Supreme Court Tenure Establishment and Retirement Modernization Act of 2025,Modernize Supreme Court justice tenure and retirement,2025-05-21,active,J000288,"Henry C. ""Hank"" Johnson, Jr.",Democratic,GA,2025-05-21,Referred to the House Committee on the Judiciary.,57
hr7424-119,119,HR,H.R.7424,American Business for American Companies Act of 2026,Ban government contracts for relocated companies,2026-02-09,active,D000216,Rosa L. DeLauro,Democratic,CT,2026-02-09,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
hr7272-119,119,HR,H.R.7272,Pipeline Cybersecurity Preparedness Act,Prepare pipelines against cyber threats,,active,W000814,"Randy K. Weber, Sr.",Republican,TX,,,0
hres1040-119,119,HRES,H.Res.1040,Recognizing the significance of the Greensboro Four sit-in during Black History Month.,,2026-02-05,active,A000370,Alma S. Adams,Democratic,NC,2026-02-05,"Referred to the Committee on Education and Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",36
s3406-119,119,S,S.3406,PATHS to Tutor Act of 2025,Improve access to tutoring for students,,active,B001288,Cory A. Booker,Democratic,NJ,,,0
hr6925-119,119,HR,H.R.6925,Kennedy Center Protection Act,Protecting the Kennedy Center for arts and culture,2025-12-23,In Committee,M001232,April McClain Delaney,Democratic,MD,2026-02-02,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",0
sjres90-119,119,SJRES,S.J.Res.90,S.J.Res.90,Joint resolution disapproving labor rule,,active,,,,,,,0
s3122-119,119,S,S.3122,Better FDA Act of 2025,Make the FDA work better,,In Committee,M001198,Roger Marshall,Republican,KS,,,0
sres516-119,119,SRES,S.Res.516,A resolution ensuring that the adoption and foster care system in the United States is child-centered and compassionate and that young people aging out of foster care are provided with adequate support and resources to transition successfully to independent adulthood.,Child-centered foster care and youth transition support,,active,H001104,Jon Husted,Republican,OH,,,0
sconres7-119,119,SCONRES,S.Con.Res.7,An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,S.Con.Res.7,2025-02-13,active,G000359,Lindsey Graham,Republican,SC,2025-02-21,Resolution agreed to in Senate with amendments by Yea-Nay Vote. 52 - 48. Record Vote Number: 87. (text: CR S1119-1125),0
hr3617-119,119,HR,H.R.3617,Securing America’s Critical Minerals Supply Act,Secure US critical minerals supply,2025-05-29,active,J000307,John James,Republican,MI,2026-02-12,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,0
sres108-119,119,SRES,S.Res.108,A resolution affirming the rule of law and the legitimacy of judicial review.,,2025-03-05,active,D000563,Richard J. Durbin,Democratic,IL,2025-03-05,Referred to the Committee on the Judiciary. (text: CR S1583),20
s3663-119,119,S,S.3663,NDO Fairness Act of 2026,Ensure fairness in law enforcement orders,2026-01-15,active,C001088,Christopher A. Coons,Democratic,DE,2026-01-15,Read twice and referred to the Committee on the Judiciary.,5
hr3243-119,119,HR,H.R.3243,Therapeutic Fraud Prevention Act of 2025,Preventing fraud in therapy treatments,,active,L000582,Ted Lieu,Democratic,CA,,,0
s857-119,119,S,S.857,Water Conservation Rebate Tax Parity Act,Tax equality for water conservation rebates,,active,C001114,John R. Curtis,Republican,UT,,,0
s1644-119,119,S,S.1644,Autonomy for Disabled Veterans Act,Helping disabled veterans achieve independence,2025-05-07,active,C001113,Catherine Cortez Masto,Democratic,NV,2025-05-07,Read twice and referred to the Committee on Veterans' Affairs.,0
hr2358-119,119,HR,H.R.2358,ESG Act of 2025,ESG Standards in Financial Sector,2025-03-26,active,B001282,Andy Barr,Republican,KY,2025-03-26,Referred to the House Committee on Financial Services.,0
s2981-119,119,S,S.2981,Veterans Prosthetics Advancement and Reform Act,Update and improve prosthetics for veterans,2025-10-07,In Committee,M000934,Jerry Moran,Republican,KS,2025-10-07,Read twice and referred to the Committee on Veterans' Affairs.,0
hr7306-119,119,HR,H.R.7306,CLOSE Act,CLOSE Act,,active,M001222,Max L. Miller,Republican,OH,,,0
hr1402-119,119,HR,H.R.1402,TICKET Act,TICKET Act,,active,B001257,Gus M. Bilirakis,Republican,FL,,,0
hr4090-119,119,HR,H.R.4090,Critical Mineral Dominance Act,Lead in critical minerals for energy,,active,S001212,Pete Stauber,Republican,MN,,,0
hr2981-119,119,HR,H.R.2981,USA CAR Act,USA CAR Act,,active,T000490,David J. Taylor,Republican,OH,,,0
s479-119,119,S,S.479,New Markets Tax Credit Extension Act of 2025,Extend tax credits for new markets,,active,D000618,Steve Daines,Republican,MT,,,0
hr1416-119,119,HR,H.R.1416,Parental Oversight and Educational Transparency Act,Make education more transparent for parents,,active,H001096,Harriet M. Hageman,Republican,WY,,,0
s3154-119,119,S,S.3154,Service Academies District of Columbia Equality Act of 2025,Equal access to military academies for D.C. residents,,active,K000384,Tim Kaine,Democratic,VA,,,0
hres866-119,119,HRES,H.Res.866,Condemning the persecution of Christians in Nigeria and standing ready to support President Donald J. Trump in taking decisive action to end the existential threat that persecuted Christians face in Nigeria.,Condemn Christian persecution in Nigeria and urge action,2025-11-07,active,M001235,Riley M. Moore,Republican,WV,2025-11-07,Referred to the House Committee on Foreign Affairs.,39
hr754-119,119,HR,H.R.754,Investing in Main Street Act of 2025,Invest in local businesses and communities,,active,C001080,Judy Chu,Democratic,CA,,,0
s1141-119,119,S,S.1141,Disaster Reforestation Act,Support reforestation efforts in disaster zones,,active,C001075,Bill Cassidy,Republican,LA,,,0
hr7343-119,119,HR,H.R.7343,Foster Youth Workforce Opportunity Act,Expand education and training for foster youth,2026-02-04,active,M001222,Max L. Miller,Republican,OH,2026-02-04,Referred to the House Committee on Ways and Means.,1
hr1782-119,119,HR,H.R.1782,SHOPP Act of 2025,Helping people buy healthy farm products,2025-03-03,active,C001130,Jasmine Crockett,Democratic,TX,2025-03-28,Referred to the Subcommittee on Nutrition and Foreign Agriculture.,17
hres1004-119,119,HRES,H.Res.1004,"Honoring Reverend Dr. Martin Luther King, Jr., by celebrating diversity, promoting tolerance, and condemning hate.",Honor MLK by promoting diversity and condemning hate,2026-01-15,active,B001313,Shontel M. Brown,Democratic,OH,2026-01-15,Referred to the House Committee on the Judiciary.,0
hr7559-119,119,HR,H.R.7559,To amend the Internal Revenue Code of 1986 to deny deduction for outsourcing payments.,Deny tax deductions for outsourcing payments,2026-02-12,active,S001189,Austin Scott,Republican,GA,2026-02-12,Referred to the House Committee on Ways and Means.,0
hr1421-119,119,HR,H.R.1421,Make American Flags in America Act of 2025,Make American flags in America,2025-02-18,active,L000600,Nicholas A. Langworthy,Republican,NY,2025-02-18,"Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",43
hr4541-119,119,HR,H.R.4541,EARLY Act Reauthorization of 2025,Renew early health care programs,2025-07-17,active,W000797,Debbie Wasserman Schultz,Democratic,FL,2025-07-17,Referred to the House Committee on Energy and Commerce.,0
hr6382-119,119,HR,H.R.6382,Return on Investment for Military Occupational Specialties Act,Get value from military job training,,In Committee,C001123,"Gilbert Ray Cisneros, Jr.",Democratic,CA,,,0
s2757-119,119,S,S.2757,Keeping Deposits Local Act,Keep bank deposits in local areas,,active,R000605,Mike Rounds,Republican,SD,,,0
hr1929-119,119,HR,H.R.1929,JUDGES Act of 2025,Improving Federal Court Judges System,,active,J000288,"Henry C. ""Hank"" Johnson, Jr.",Democratic,GA,,,0
hr6275-119,119,HR,H.R.6275,China AI Power Report Act,Report on China's AI capabilities and influence,,active,M001219,James C. Moylan,Republican,GU,,,0
sjres54-119,119,SJRES,S.J.Res.54,S.J.Res.54,Joint resolution 54,,active,,,,,,,0
sres195-119,119,SRES,S.Res.195,S.Res.195,S.Res.195,,active,,,,,,,0
s872-119,119,S,S.872,Stop Secret Spending Act of 2025,Stop secret government spending,2025-03-05,active,E000295,Joni Ernst,Republican,IA,2025-11-07,Placed on Senate Legislative Calendar under General Orders. Calendar No. 265.,5
hr5521-119,119,HR,H.R.5521,Peace Corps Volunteers Congressional Gold Medal Act of 2025,Honor Peace Corps Volunteers with Gold Medal,2025-09-19,active,M001143,Betty McCollum,Democratic,MN,2025-09-19,Referred to the House Committee on Financial Services.,22
hr6203-119,119,HR,H.R.6203,United States Cadet Nurse Corps Service Recognition Act of 2025,Honor US Cadet Nurse Corps service,,active,L000599,Michael Lawler,Republican,NY,,,0
s3226-119,119,S,S.3226,Bring Our Heroes Home Act,Bring Our Heroes Home Act,2025-11-19,active,C000880,Mike Crapo,Republican,ID,2025-11-19,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,0
hr6221-119,119,HR,H.R.6221,Fostering the Future for American Children and Families Act,Help American children and families thrive,,active,N000193,Zachary Nunn,Republican,IA,,,0
hr1361-119,119,HR,H.R.1361,Collision Avoidance Systems Act of 2025,Require collision avoidance systems in transportation,2025-02-13,active,W000806,Daniel Webster,Republican,FL,2025-02-13,Referred to the Subcommittee on Highways and Transit.,0
hr5000-119,119,HR,H.R.5000,Cybersecurity Hiring Modernization Act,Update hiring for cybersecurity jobs,,active,M000194,Nancy Mace,Republican,SC,,,0
hr5221-119,119,HR,H.R.5221,PART Act,PART Act,2025-09-09,active,B001307,James R. Baird,Republican,IN,2026-02-10,Forwarded by Subcommittee to Full Committee by Voice Vote.,0
hr3522-119,119,HR,H.R.3522,Protecting Older Workers Against Discrimination Act of 2025,Protect older workers from discrimination,2025-05-20,active,S000185,"Robert C. ""Bobby"" Scott",Democratic,VA,2025-05-20,Referred to the House Committee on Education and Workforce.,7
s3145-119,119,S,S.3145,CARE Act of 2025,CARE Act,,In Committee,C001035,Susan M. Collins,Republican,ME,,,0
s3585-119,119,S,S.3585,DATA Act of 2026,Improving data use in energy sector,2026-01-07,active,C001095,Tom Cotton,Republican,AR,2026-01-07,Read twice and referred to the Committee on Energy and Natural Resources.,0
hr260-119,119,HR,H.R.260,No Tax Dollars for Terrorists Act,No Tax Dollars for Terrorists Act,,active,B001309,Tim Burchett,Republican,TN,,,0
hr2976-119,119,HR,H.R.2976,Cold-blooded Animal Research and Exhibition Act,Rules for researching and exhibiting cold-blooded animals,,active,M001143,Betty McCollum,Democratic,MN,,,0
hr151-119,119,HR,H.R.151,Equal Representation Act,Equal Representation Act,2025-01-03,active,E000246,Chuck Edwards,Republican,NC,2025-12-02,Ordered to be Reported (Amended) by the Yeas and Nays: 20 - 19.,66
s918-119,119,S,S.918,Protect Our Probationary Employees Act,Protecting probationary employees' rights,2025-03-10,active,V000128,Chris Van Hollen,Democratic,MD,2025-03-10,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,5
s690-119,119,S,S.690,Overdose RADAR Act,Rapid alert system for overdose detection,,active,S001217,Rick Scott,Republican,FL,,,0
hr7314-119,119,HR,H.R.7314,Advancing Commonsense Policies Act,Promoting sensible policies for finance and economy,,active,M001223,Seth Magaziner,Democratic,RI,,,0
hr1094-119,119,HR,H.R.1094,Amateur Radio Emergency Preparedness Act,Use amateur radio for emergency preparedness,,active,P000048,August Pfluger,Republican,TX,,,0
s205-119,119,S,S.205,Protecting Individuals with Down Syndrome Act,Protect people with Down Syndrome,,active,D000618,Steve Daines,Republican,MT,,,0
hr5757-119,119,HR,H.R.5757,Tribal Housing Continuity Act of 2025,Continue housing for Native American tribes,,active,R000599,Raul Ruiz,Democratic,CA,,,0
hr7062-119,119,HR,H.R.7062,Build HUBS Act,Build HUBS Act,,active,F000483,Laura Friedman,Democratic,CA,,,0
hr7702-119,119,HR,H.R.7702,Death Penalty for Child Rapists Act,,2026-02-25,active,M000194,Nancy Mace,Republican,SC,2026-02-25,"Referred to the Committee on the Judiciary, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
hr6053-119,119,HR,H.R.6053,SGLF Act of 2025,Protect public lands and natural resources,,active,D000624,Debbie Dingell,Democratic,MI,,,0
s142-119,119,S,S.142,Wildland Firefighters Congressional Gold Medal Act,Honor wildland firefighters with gold medal,,active,B001261,John Barrasso,Republican,WY,,,0
hr3828-119,119,HR,H.R.3828,Combating Deceptive Immigration Enforcement Practices Act of 2025,Prevent deception in immigration enforcement,2025-06-06,active,V000081,Nydia M. Velázquez,Democratic,NY,2025-06-06,Referred to the House Committee on the Judiciary.,0
s2179-119,119,S,S.2179,Canyon’s Law,Canyon’s Law,,In Committee,M001176,Jeff Merkley,Democratic,OR,,,0
hconres70-119,119,HCONRES,H.Con.Res.70,Affirming the partnership between the United States and Denmark and Greenland.,Confirm US partnership with Denmark and Greenland,,active,K000389,Ro Khanna,Democratic,CA,,,0
hres1033-119,119,HRES,H.Res.1033,"Expressing support for the designation of the week beginning February 2, 2026, as ""National Tribal Colleges and Universities Week"".",Support national week for tribal colleges and universities,,active,D000629,Sharice Davids,Democratic,KS,,,0
hr5284-119,119,HR,H.R.5284,Claiming Age Clarity Act,Clarify age requirements for claiming benefits,,active,S001199,Lloyd Smucker,Republican,PA,,,0
hconres14-119,119,HCONRES,H.Con.Res.14,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034.,Set US government budget for 2025 and beyond,2025-02-18,active,A000375,Jodey C. Arrington,Republican,TX,2025-05-20,Star Print ordered on the reported concurrent resolution.,0
s257-119,119,S,S.257,Promoting Resilient Supply Chains Act of 2025,,2025-01-27,active,C000127,Maria Cantwell,Democratic,WA,2025-07-03,Held at the desk.,4
s728-119,119,S,S.728,African Burial Ground International Memorial Museum and Educational Center Act,Museum and Education Center for African Burial Ground,,active,G000555,Kirsten E. Gillibrand,Democratic,NY,,,0
hjres20-119,119,HJRES,H.J.Res.20,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters"".",Disapprove energy standards for gas water heaters,,active,P000609,Gary J. Palmer,Republican,AL,,,0
hr3212-119,119,HR,H.R.3212,LAST ACRE Act of 2025,Advance technology in science and communications fields,2025-05-06,active,F000475,Brad Finstad,Republican,MN,2025-05-06,"Referred to the Committee on Agriculture, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
hr1038-119,119,HR,H.R.1038,Combating Rural Inflation Act,Reduce Inflation in Rural Areas,2025-02-05,active,V000136,Gabe Vasquez,Democratic,NM,2025-02-05,Referred to the House Committee on Education and Workforce.,3
hr6046-119,119,HR,H.R.6046,Broadband and Telecommunications RAIL Act,Improve broadband and telecom infrastructure,2025-11-17,active,J000302,John Joyce,Republican,PA,2025-12-03,Ordered to be Reported by the Yeas and Nays: 51 - 0.,0
hr4889-119,119,HR,H.R.4889,To prohibit States from carrying out more than one Congressional redistricting after a decennial census and apportionment.,Restrict states to one congressional redistricting after census,,active,K000401,Kevin Kiley,Republican,CA,,,0
hr1957-119,119,HR,H.R.1957,End Veteran Homelessness Act of 2025,End veteran homelessness,2025-03-06,active,T000472,Mark Takano,Democratic,CA,2026-02-24,Forwarded by Subcommittee to Full Committee by Voice Vote.,18
sres601-119,119,SRES,S.Res.601,"A resolution designating the week beginning February 2, 2026, as ""National Tribal Colleges and Universities Week"".",National Week for Tribal Colleges and Universities,,active,H001046,Martin Heinrich,Democratic,NM,,,0
hr2693-119,119,HR,H.R.2693,District of Columbia Electronic Transmittal of Legislation Act,Electronic transmission of D.C. legislation,,active,N000147,Eleanor Holmes Norton,Democratic,DC,,,0
sres532-119,119,SRES,S.Res.532,S.Res.532,Senate Resolution,,active,,,,,,,0
s1236-119,119,S,S.1236,FISCAL Act,FISCAL Act,2025-04-01,active,F000479,John Fetterman,Democratic,PA,2025-04-01,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",2
